file	obj	time
32_16_63	23	600.11
32_16_64	21	600.072
32_16_65	25	600.889
32_16_66	22	600.182
32_16_67	27	600.866
32_16_68	24	600.167
32_16_69	24	600.081
32_16_7	26	600.09
32_16_70	25	600.418
32_16_71	24	600.039
32_16_72	24	600.053
32_16_73	24	600.632
32_16_74	27	600.403
32_16_75	30	600.123
32_16_76	25	600.302
32_16_77	26	600.179
32_16_78	29	600.099
32_16_79	24	600.135
32_16_8	22	600.29
32_16_80	29	600.257
32_16_81	21	600.142
32_16_82	29	600.43
32_16_83	24	600.056
32_16_84	23	600.055
32_16_85	25	600.186
32_16_86	24	600.178
32_16_87	24	600.035
32_16_88	24	600.06
32_16_89	27	600.07
32_16_9	25	600.037
32_16_90	20	600.1
32_16_91	23	600.037
32_16_92	30	600.091
32_16_93	30	600.522
32_16_94	26	600.106
32_16_95	25	600.051
32_16_96	24	600.019
32_16_97	28	600.089
32_16_98	24	600.102
32_16_99	27	600.029
32_4_0	28	600.057
32_4_1	29	601.755
32_4_10	29	600.002
32_4_11	28	600.152
32_4_12	31	600.11
32_4_13	29	601.749
32_4_14	31	600.273
32_4_15	28	600.087
32_4_16	32	600.028
32_4_17	29	600.133
32_4_18	27	600.13
32_4_19	29	600.344
32_4_2	29	600.212
32_4_20	25	600.107
32_4_21	30	600.172
32_4_22	23	600.086
32_4_23	29	600.089
32_4_24	28	600.149
32_4_25	27	600.758
32_4_26	25	600.092
32_4_27	26	600.134
32_4_28	30	600.092
32_4_29	30	600.049
32_4_3	27	600.232
32_4_30	23	600.208
32_4_31	24	600.036
32_4_32	25	600.159
32_4_33	28	600.039
32_4_34	30	600.692
32_4_35	26	600.027
32_4_36	25	600.033
32_4_37	29	600.002
32_4_38	26	600.101
32_4_39	30	600.072
32_4_4	32	600.242
32_4_40	29	600.005
32_4_41	27	600.058
32_4_42	31	600.016
32_4_43	26	600.113
32_4_44	28	600.003
32_4_45	31	600.07
32_4_46	32	600.102
32_4_47	26	600.118
32_4_48	29	600.032
32_4_49	30	600.07
32_4_5	25	600.007
32_4_50	29	600.049
32_4_51	30	600.101
32_4_52	32	600.038
32_4_53	31	600.03
32_4_54	30	600.004
32_4_55	29	600.028
32_4_56	28	600.16
32_4_57	28	600.006
32_4_58	29	600.104
32_4_59	27	600.117
32_4_6	29	600.04
32_4_60	28	600.004
32_4_61	32	600.11
32_4_62	29	600.064
32_4_63	27	600.026
32_4_64	30	600.301
32_4_65	25	600.106
32_4_66	26	600.054
32_4_67	27	600.127
32_4_68	29	600.006
32_4_69	29	600.028
32_4_7	25	600.084
32_4_70	28	600.104
32_4_71	27	600.075
32_4_72	30	600.161
32_4_73	26	600.074
32_4_74	30	600.149
32_4_75	29	600.034
32_4_76	27	600.167
32_4_77	30	600.174
32_4_78	30	600.38
32_4_79	30	600.043
32_4_8	25	600.044
32_4_80	29	600.356
32_4_81	28	600.812
32_4_82	27	600.316
32_4_83	24	600.212
32_4_84	28	600.294
32_4_85	29	600.645
32_4_86	29	601.056
32_4_87	32	600.521
32_4_88	26	601.155
32_4_89	26	600.548
32_4_9	27	601.163
32_4_90	29	600.02
32_4_91	32	600.443
32_4_92	24	600.12
32_4_93	28	600.09
32_4_94	28	601.052
32_4_95	31	600.061
32_4_96	25	600.003
32_4_97	26	600.428
32_4_98	31	600.116
32_4_99	29	600.082
32_8_0	27	600.951
32_8_1	27	600.072
32_8_10	25	600.126
32_8_11	27	600.119
32_8_12	25	600.152
32_8_13	25	600.315
32_8_14	24	600.328
32_8_15	29	600.145
32_8_16	25	600.504
32_8_17	20	600.259
32_8_18	27	600.172
32_8_19	29	600.071
32_8_2	28	600.712
32_8_20	23	600.096
32_8_21	27	600.018
32_8_22	26	600.085
32_8_23	26	600.149
32_8_24	26	600.001
32_8_25	26	600.135
32_8_26	25	600.15
32_8_27	26	600.134
32_8_28	26	600.599
32_8_29	24	600
32_8_3	26	600.081
32_8_30	24	600.031
32_8_31	23	600.096
32_8_32	25	600.123
32_8_33	31	600.092
32_8_34	27	600.136
32_8_35	26	600.141
32_8_36	28	600.053
32_8_37	28	600.007
32_8_38	23	600.119
32_8_39	27	600.082
32_8_4	26	600.116
32_8_40	24	600.012
32_8_41	29	600.059
32_8_42	24	600.011
32_8_43	25	600.086
32_8_44	23	600.118
32_8_45	27	600.137
32_8_46	29	600.084
32_8_47	28	600.045
32_8_48	27	600.062
32_8_49	27	600.035
32_8_5	26	600.119
32_8_50	26	600.043
32_8_51	25	600.022
32_8_52	28	600.151
32_8_53	21	600.059
32_8_54	25	600.081
32_8_55	25	600.085
32_8_56	27	600.024
32_8_57	26	600.025
32_8_58	29	600.062
32_8_59	27	600.121
32_8_6	28	600.131
32_8_60	30	600.089
32_8_61	23	600.076
32_8_62	26	600.08
32_8_63	27	600.04
32_8_64	27	600.019
32_8_65	24	600.125
32_8_66	22	600.043
32_8_67	27	600.036
32_8_68	24	600.169
32_8_69	25	600.07
32_8_7	26	600.115
32_8_70	29	600.073
32_8_71	28	600.178
32_8_72	31	600.148
32_8_73	29	600.024
32_8_74	25	600.006
32_8_75	23	600.076
32_8_76	27	600.091
32_8_77	28	600.193
32_8_78	23	600.323
32_8_79	22	600.133
32_8_8	24	600.127
32_8_80	27	600.053
32_8_81	27	600.038
32_8_82	28	600.392
32_8_83	26	600.048
32_8_84	27	600.094
32_8_85	24	600.659
32_8_86	29	600.074
32_8_87	30	600.088
32_8_88	26	600.247
32_8_89	24	600.072
32_8_9	25	600.01
32_8_90	24	600.463
32_8_91	31	600.088
