sigma,n,len_B,k,Rand-Sample,Approx,LS2,LS4,ILP,Adapt-Cmsa
10,80,50,44,68,73,74,72,75,75
4,32,13,23,31,30,30,30,31,31
20,80,47,37,64,66,66,65,66,66
8,16,5,12,13,13,13,13,13,13
24,48,15,24,36,36,36,36,36,36
40,80,19,51,57,56,56,56,57,57
16,64,25,47,56,55,55,55,56,56
16,32,19,16,28,28,28,28,28,28
2,16,6,12,16,16,16,16,16,16
4,16,9,6,13,13,13,12,13,13
12,48,22,23,39,39,38,38,39,39
6,48,27,22,42,43,43,42,43,43
8,16,3,11,14,14,14,14,14,14
20,80,43,35,60,60,60,58,60,60
16,32,16,15,21,21,21,21,21,21
6,48,16,29,41,40,41,39,41,41
40,80,33,46,60,59,60,60,60,60
16,32,20,12,25,25,25,25,25,25
20,80,33,48,63,62,63,62,63,63
16,32,7,21,24,24,22,23,24,24
2,16,12,7,16,16,16,16,16,16
20,80,29,51,63,63,63,63,63,63
10,80,22,57,68,69,68,68,69,69
8,32,17,15,29,29,29,29,29,29
16,64,28,32,46,45,45,45,46,46
8,16,9,8,12,12,12,12,12,12
8,32,7,22,27,27,27,27,27,27
8,32,19,13,28,28,26,28,28,28
4,16,8,10,15,15,15,15,15,15
8,64,33,28,51,51,51,51,51,51
10,80,44,38,69,73,72,72,74,74
10,80,28,45,61,61,60,61,61,61
6,48,32,15,41,43,43,43,43,43
4,32,13,18,29,30,30,30,30,30
20,80,28,54,67,68,67,67,68,68
24,48,14,32,34,34,34,34,34,34
10,80,48,34,64,66,67,64,67,67
6,48,24,21,40,41,41,39,41,41
10,80,43,36,65,67,67,67,67,67
16,32,18,14,26,26,26,26,26,26
32,64,27,37,51,52,52,51,52,52
40,80,17,65,62,62,62,62,62,62
32,64,26,37,50,50,50,50,50,50
4,32,17,14,26,26,26,26,26,26
24,48,23,31,40,40,40,39,40,40
32,64,41,23,49,49,49,48,49,49
16,32,13,14,22,22,22,22,22,22
12,48,12,33,40,40,40,40,40,40
16,64,16,42,52,53,53,52,53,53
40,80,40,42,63,62,62,63,63,63
16,64,21,45,52,52,52,52,52,52
8,16,9,10,16,16,16,16,16,16
40,80,43,31,58,60,59,58,60,60
24,48,23,25,35,35,35,35,35,35
8,32,20,16,27,27,27,27,27,27
20,80,40,47,67,69,67,69,70,70
4,32,17,12,26,26,25,26,26,26
8,16,9,10,14,14,14,14,14,14
12,48,28,16,37,37,36,36,37,37
40,80,25,55,64,64,64,64,64,64
16,32,20,18,27,27,27,27,27,27
2,16,4,10,14,14,14,14,14,14
12,48,33,16,40,41,41,41,42,42
8,64,29,36,54,53,56,55,57,57
8,64,24,33,51,50,52,52,52,52
6,48,25,18,39,39,39,38,39,39
12,48,19,29,39,37,39,39,39,39
32,64,21,45,46,45,46,46,46,46
16,64,42,26,52,51,53,52,53,53
4,16,7,8,13,13,13,13,13,13
40,80,31,59,68,68,69,69,69,69
6,48,18,30,41,41,41,40,41,41
20,80,38,37,56,57,57,57,57,57
16,64,32,34,53,52,53,53,53,53
4,16,4,9,12,12,12,12,12,12
8,32,20,14,24,24,24,23,24,24
8,16,12,7,14,14,14,14,14,14
8,16,9,7,13,13,13,13,13,13
32,64,16,44,46,46,46,46,46,46
2,16,9,8,16,16,16,16,16,16
2,16,13,7,16,16,16,16,16,16
32,64,41,19,44,44,44,44,44,44
8,64,7,53,54,54,54,54,54,54
24,48,32,13,33,33,33,33,33,33
10,80,60,29,65,69,69,68,69,68
2,16,6,7,13,13,13,13,13,13
12,48,31,16,38,38,38,37,38,38
6,48,28,18,36,36,36,37,36,36
40,80,44,39,58,58,58,58,58,58
32,64,45,19,41,41,41,41,41,41
2,16,10,7,12,11,12,12,12,12
20,80,36,45,65,66,66,65,67,66
24,48,19,30,43,43,42,43,43,43
4,16,8,7,14,14,14,14,14,14
6,48,31,14,38,39,39,39,39,39
8,16,6,15,13,12,13,13,13,13
4,32,17,14,28,29,29,29,29,29
8,16,9,7,13,13,13,13,13,13
40,80,22,66,62,61,62,62,62,62
12,48,25,24,38,38,38,38,38,38
8,64,34,28,51,51,51,52,52,52
12,48,23,24,38,39,39,39,39,39
20,80,42,42,60,62,62,61,62,62
24,48,24,26,36,36,36,35,36,36
8,64,21,40,54,55,55,55,55,55
2,16,9,6,14,14,14,14,14,14
2,16,7,6,13,13,13,13,13,13
8,32,16,13,24,24,24,24,24,24
16,32,13,23,30,29,30,30,30,30
8,16,6,10,12,12,12,12,12,12
32,64,29,35,47,46,47,47,47,46
24,48,35,11,34,34,34,34,34,34
24,48,24,28,38,38,38,38,38,38
