sigma,n,len_B,k,Rand-Sample,Approx,LS2,LS4,ILP,Adapt-Cmsa
2,16,9,6,14,14,14,13,14,14
10,80,49,30,64,67,66,66,67,67
32,64,22,41,47,47,47,46,47,47
40,80,32,43,60,60,60,60,60,60
10,80,11,69,70,70,70,70,70,70
8,16,9,7,12,12,11,12,12,12
32,64,33,32,49,49,49,49,49,49
12,48,28,19,37,36,37,37,37,37
16,32,14,15,23,23,23,23,23,23
8,64,20,45,59,58,59,57,59,59
12,48,32,12,36,37,37,37,37,37
10,80,44,33,62,64,63,63,65,65
24,48,9,37,38,38,38,37,38,38
16,64,23,37,50,50,50,50,50,50
8,32,19,23,29,28,28,28,29,29
40,80,18,59,63,62,63,62,63,63
16,64,26,39,54,54,53,53,54,54
16,32,5,27,29,29,29,28,29,29
16,32,20,9,24,24,23,23,24,24
12,48,23,19,33,33,33,34,33,33
40,80,25,57,66,66,65,66,66,66
10,80,28,60,71,72,71,71,73,73
6,48,21,31,43,43,41,41,44,44
10,80,30,55,69,69,70,70,71,71
8,16,8,10,14,14,14,14,14,14
16,32,7,24,25,25,25,25,25,25
10,80,44,33,63,66,65,65,66,66
2,16,7,10,14,14,14,14,14,14
6,48,34,16,42,43,42,43,44,44
24,48,26,20,34,34,34,34,34,34
4,32,20,14,28,28,28,28,28,28
16,64,17,47,54,53,54,53,54,54
16,64,30,35,51,51,51,51,51,51
4,16,7,8,13,13,13,12,13,13
2,16,9,10,16,16,16,16,16,16
24,48,17,36,42,42,41,41,42,42
32,64,16,48,49,49,49,49,49,49
2,16,5,10,13,13,13,13,13,13
24,48,25,21,36,36,36,36,36,36
12,48,12,36,39,37,37,37,39,39
10,80,30,48,65,65,64,64,66,66
20,80,31,43,60,60,62,60,63,63
20,80,48,31,59,61,60,61,61,61
8,32,15,22,27,26,26,26,27,27
8,16,6,11,13,13,13,13,13,13
4,16,7,13,16,16,16,16,16,16
16,64,25,42,53,54,54,52,54,54
6,48,27,30,46,47,46,46,47,47
16,64,31,31,50,51,51,50,51,51
8,16,7,7,13,13,13,13,13,13
8,16,8,10,13,13,13,13,13,13
4,32,9,23,26,26,26,26,26,26
8,16,5,8,10,10,10,10,10,10
8,64,21,40,54,53,54,54,55,55
4,32,11,23,31,31,30,30,31,31
6,48,30,12,38,38,37,38,38,38
4,16,5,8,12,12,12,12,12,12
10,80,51,33,64,66,67,66,67,67
24,48,15,28,37,37,36,35,37,37
32,64,15,49,53,52,53,52,53,53
12,48,25,25,41,41,41,41,41,41
40,80,25,48,55,55,55,56,55,55
20,80,35,42,62,61,62,62,63,63
6,48,27,18,38,37,38,38,38,38
8,64,35,26,49,49,49,49,50,50
2,16,8,10,15,15,15,15,15,15
12,48,16,31,38,38,38,38,38,38
6,48,10,34,42,42,42,42,42,42
4,16,8,8,15,15,14,14,15,15
32,64,16,46,47,46,46,46,47,47
40,80,25,56,60,59,60,59,60,60
8,64,19,48,57,58,57,59,59,59
40,80,36,47,60,59,60,60,60,60
24,48,29,15,32,31,32,32,32,32
6,48,14,36,43,42,44,44,44,44
4,16,4,10,14,14,14,14,14,14
16,64,32,33,54,55,55,54,55,55
2,16,13,5,16,16,16,16,16,16
8,64,25,30,50,49,48,48,50,50
4,32,10,21,28,28,28,28,28,28
2,16,11,7,16,16,16,16,16,16
8,64,29,37,55,57,57,56,57,57
32,64,36,32,50,50,50,50,50,50
40,80,41,41,61,61,60,60,61,61
4,16,6,10,14,13,14,13,14,14
12,48,25,21,39,39,38,38,39,39
4,32,9,20,26,26,26,26,26,26
12,48,23,26,38,38,38,37,38,38
4,32,9,20,25,25,25,25,25,25
40,80,60,25,58,58,58,58,58,58
20,80,33,54,66,67,67,67,67,67
24,48,17,32,38,38,37,37,38,38
4,32,14,13,24,23,23,23,24,24
32,64,14,43,47,46,47,47,47,47
24,48,32,18,36,36,36,36,36,36
4,32,14,17,31,31,31,29,31,31
6,48,14,32,41,40,40,40,41,41
6,48,18,32,42,42,42,42,43,43
8,16,5,8,11,11,11,11,11,11
32,64,28,31,43,43,43,42,43,43
24,48,23,25,38,38,38,38,38,38
24,48,25,24,37,37,37,35,37,37
8,16,9,10,15,15,14,15,15,15
6,48,17,34,44,45,44,44,45,45
24,48,20,26,36,35,36,36,36,36
4,16,7,5,11,11,11,11,11,11
8,16,7,8,12,12,12,12,12,12
32,64,36,30,50,50,50,49,50,50
4,16,7,7,12,12,11,12,12,12
8,64,26,34,51,53,52,51,54,54
8,32,15,19,29,28,29,29,29,29
10,80,35,55,71,72,72,72,75,75
8,64,34,34,56,58,55,57,58,58
4,32,13,17,28,27,28,28,28,28
4,32,25,13,31,30,31,30,32,32
40,80,35,44,61,61,60,60,61,61
8,16,4,6,9,9,9,9,9,9
4,16,5,8,12,12,12,12,12,12
40,80,36,39,54,54,54,54,54,54
10,80,25,54,68,70,70,70,71,71
40,80,48,30,56,56,56,56,56,56
20,80,28,48,63,64,64,64,64,64
32,64,19,43,44,44,43,43,44,44
2,16,9,12,16,16,16,16,16,16
8,16,6,11,13,13,13,13,13,13
4,32,7,28,30,30,30,30,30,30
10,80,41,44,67,69,68,68,69,69
6,48,22,20,37,36,36,37,37,37
4,16,9,10,16,16,16,16,16,16
6,48,29,17,40,41,41,41,41,41
12,48,27,21,38,39,38,38,39,39
32,64,24,40,47,47,46,46,48,48
10,80,44,36,63,64,64,63,65,65
8,16,10,8,14,14,14,14,14,14
16,64,33,30,52,53,52,52,53,53
16,64,29,36,51,50,52,52,52,52
8,32,23,9,24,24,24,23,24,24
20,80,22,56,62,62,62,62,62,62
24,48,8,40,39,38,39,39,39,39
4,16,4,10,13,13,13,13,13,13
2,16,6,12,16,16,16,16,16,16
32,64,28,34,45,46,46,46,46,46
8,16,7,12,13,13,13,13,13,13
24,48,22,26,39,39,39,39,39,39
8,32,13,23,25,24,25,24,25,25
8,16,7,7,10,10,10,10,10,10
40,80,49,34,59,60,60,59,60,60
4,32,7,25,28,28,28,28,28,28
40,80,44,41,64,66,64,64,66,66
4,32,12,19,28,28,28,27,28,28
20,80,53,25,59,61,61,60,61,61
16,32,7,26,24,24,24,24,24,24
10,80,52,31,63,66,66,65,66,66
10,80,65,18,61,63,63,63,63,62
32,64,45,22,50,49,50,49,50,50
20,80,27,51,62,62,61,62,63,63
8,32,12,11,20,20,20,20,20,20
10,80,22,59,71,72,72,71,72,72
8,32,9,23,26,26,26,25,26,26
4,32,18,15,29,29,29,28,29,29
40,80,38,34,54,54,54,54,54,54
40,80,34,46,60,60,60,60,60,60
8,16,6,4,9,8,9,9,9,9
10,80,28,69,79,75,76,77,79,79
2,16,8,6,14,14,14,14,14,14
40,80,41,38,56,55,56,56,56,56
20,80,33,43,62,63,64,64,65,65
4,16,10,7,16,16,16,16,16,16
4,16,3,10,13,13,13,13,13,13
16,64,31,38,53,52,51,51,53,53
40,80,33,42,55,55,55,55,55,55
32,64,42,29,49,50,49,50,50,49
16,64,25,33,41,41,41,40,41,41
20,80,25,59,68,69,68,68,69,69
10,80,21,62,73,74,73,73,74,74
24,48,16,35,39,39,39,39,39,39
24,48,23,29,42,43,43,43,43,43
16,64,34,37,56,56,57,56,57,57
40,80,21,60,64,64,64,64,64,64
32,64,30,43,51,51,51,51,51,51
8,64,22,30,48,49,49,48,49,49
16,32,23,14,25,25,25,25,25,25
8,64,22,30,48,49,49,49,49,49
2,16,6,13,16,16,16,16,16,16
8,64,45,22,53,54,54,54,54,54
2,16,10,9,16,16,16,16,16,16
12,48,22,24,37,38,38,38,38,38
8,64,30,33,50,53,52,52,53,53
8,16,9,8,11,11,11,11,11,11
32,64,22,33,43,43,43,43,43,43
24,48,10,29,33,33,33,33,33,33
4,32,7,21,27,26,27,27,27,27
16,64,13,51,54,54,54,54,54,54
10,80,49,23,57,59,59,58,59,59
32,64,32,29,46,45,46,45,46,46
12,48,29,26,42,44,44,43,44,44
6,48,10,39,46,47,47,46,47,47
2,16,3,11,13,13,13,13,13,13
40,80,53,30,58,59,59,59,59,58
32,64,36,29,50,51,51,51,51,51
8,64,31,34,51,51,51,51,52,52
12,48,22,26,40,39,40,39,40,40
4,16,6,7,12,12,12,12,12,12
8,32,13,21,24,23,24,23,24,24
8,16,6,11,11,10,11,11,11,11
40,80,27,56,65,64,65,64,65,65
8,64,12,48,54,53,54,54,54,54
4,32,14,24,32,32,31,31,32,32
20,80,50,35,59,59,60,60,60,60
4,32,19,13,29,29,28,28,30,30
8,32,19,13,27,27,27,26,27,27
6,48,13,38,46,46,46,45,46,46
2,16,8,7,14,14,14,14,14,14
8,64,45,21,52,56,56,56,56,56
12,48,24,32,45,44,45,44,45,44
10,80,24,54,65,65,65,65,66,66
8,32,13,15,25,25,25,25,25,25
12,48,19,23,36,37,37,37,37,37
4,32,15,16,28,29,28,28,29,29
10,80,36,52,69,69,68,70,71,71
10,80,40,44,65,68,67,68,69,69
10,80,52,30,62,63,62,62,64,64
20,80,26,50,62,62,62,62,63,63
6,48,32,24,46,48,47,47,48,48
32,64,41,23,47,47,47,46,47,47
16,64,44,24,47,46,47,47,48,48
16,64,21,49,55,55,55,54,55,55
8,64,21,44,57,58,58,58,58,58
32,64,38,28,45,46,46,46,46,46
40,80,32,55,65,65,65,65,65,65
12,48,27,31,46,46,46,45,46,46
6,48,13,32,41,40,40,39,41,41
24,48,17,33,37,37,37,37,37,37
24,48,34,20,36,35,36,36,36,36
4,16,8,7,15,15,15,13,15,15
8,32,17,15,26,26,26,24,26,26
40,80,17,71,67,67,67,67,67,67
40,80,18,60,60,60,60,60,60,60
